2023-12-11 00:16:38.4969|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 701, M: 150 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:16:38.5017|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 708, M: 400 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:16:38.5070|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 709, M: 20 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:16:38.5133|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 717, M: 50 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:16:38.5189|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 720, M: 10 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:44:43.8401|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 553, M: 300 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:44:43.8452|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 554, M: 400 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:45:42.7681|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 582, M: 600 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 00:45:42.7744|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 597, M: 200 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:30:04.8667|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 619, M: 500 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:30:04.8745|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 622, M: 300 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:30:04.8809|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 625, M: 400 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:30:04.8877|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 638, M: 0 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:30:04.8947|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6580, Km: 653, M: 500 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:35:39.9449|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3203254 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:35:39.9449|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3203296 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:35:39.9480|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3203510 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
